requestID,clientContextID,status,elapsedTime,resultCount,resultSize,processedObjects,timestamp
9d9731b4-8a68-40d6-8e8b-d38863e6e0c3,1a_Create_All.sql,success,1.830289013s,0,0,0,2021-09-02 02:11:38.081794
9430c49b-4635-4bac-9309-a54ae8abde28,2a_Load_All.sql,success,11.243273727s,0,0,0,2021-09-02 02:11:40.099215
915b855f-5dcd-44d7-9204-5acdde58ea48,3_Point-Count_Buildings.sql,success,400.014732ms,265,3988,265,2021-09-02 02:11:51.358640
7a62a65c-224b-4298-afcf-10609d7fc953,4_Point-Count_RoadNetwork.sql,success,607.873095ms,8415,126225,8415,2021-09-02 02:11:51.782501
2e85af18-e503-451d-bfcd-9d0bc68cca8b,5_Point-Count_AllNodes.sql,success,1.102502515s,47371,710565,47371,2021-09-02 02:11:52.458528
6aeb5804-001d-4ba4-bdbb-c930b2b65407,6_Equals_Polygon-Polygon.sql,success,3.012082023s,265,343681,265,2021-09-02 02:11:54.334619
0a2856fc-44c0-4974-bb9a-6819c8e96562,7a_Equals_Point-Point.sql,success,95.062043862s,8345,5263399,8303,2021-09-02 02:11:58.621324
0beccee1-244a-4b97-a3c4-1d2d073e5d14,8_Disjoint_Polygon-Polygon.sql,success,7.164849964s,69942,90702428,265,2021-09-02 02:13:35.305950
c59e2fd1-7b6a-4578-a515-89098b8d6cb4,9_Intersects_Line-Polygon.sql,success,5.029936643s,0,0,8680,2021-09-02 02:13:56.508076
0420af93-740f-4c35-a30e-52bd9b818b59,10_Intersects_Point-Polygon.sql,success,15.327258854s,1399,1519244,47636,2021-09-02 02:14:15.294089
58a7bec2-aac0-40da-8a6e-177f0c724939,11a_Intersects_Point-Line.sql,success,5.340028875s,1286,1471728,8946,2021-09-02 02:14:42.427380
a92904c7-6d53-4181-8e1c-0a78bb2d9cc5,12_Touches_Polygon-Polygon.sql,success,1.927727369s,6,10602,265,2021-09-02 02:15:00.001842
500d2bd4-694f-471d-8d86-596044a8d26a,13_Touches_Line-Polygon.sql,success,5.019763249s,0,0,8680,2021-09-02 02:15:14.228704
5b814ebf-5d93-48b4-b5a5-e251404d7335,14_Crosses_Line-Line.sql,success,65.429766138s,4,4586,8415,2021-09-02 02:15:31.132042
39d2a151-6192-4d1b-9b53-143aad064f92,15_Crosses_Line-Polygon.sql,success,3.602062046s,0,0,8680,2021-09-02 02:16:49.169360
4bd27fa4-8a8c-43c6-84c9-d7d65ccfaea8,16_Overlaps_Polygon-Polygon.sql,success,589.895778ms,10,12484,265,2021-09-02 02:17:04.784290
fa944535-1228-4016-9184-076e990f3277,17_Within_Polygon-Polygon.sql,success,593.900782ms,266,346816,265,2021-09-02 02:17:17.365844
6aa382bb-c556-4eed-a41a-482d5b2518a0,18_Within_Line-Polygon.sql,success,4.869658075s,0,0,8680,2021-09-02 02:17:30.306896
eaa1a572-878b-4ca9-a0f7-b40f32affdca,19_Within_Point-Polygon.sql,success,13.2338398s,48,70238,47636,2021-09-02 02:17:48.105904
3198f265-7d62-49dd-ad1d-90c59f0ad1b6,20_Contains_Polygon-Polygon.sql,success,649.41242ms,266,346816,265,2021-09-02 02:18:13.737303
36247950-aa7a-480e-9ade-d5c7a73e2668,21_Scan_Polygon.sql,success,113.934897ms,265,9087,265,2021-09-02 02:18:26.508647
8bebbe2e-0f0a-430e-8d1e-98d143c74b3a,22_Scan_RoadNetwork.sql,success,348.387719ms,8415,289056,8415,2021-09-02 02:18:41.051183
9bfc8789-3f1a-4776-8b61-3e03ad99f7cb,23a_Create_States.sql,success,8.489433086s,0,0,0,2021-09-02 02:18:57.657228
066d9d01-e91d-40fb-80a6-3d44586b9821,24_Range_Buildings-States.sql,success,221.45888ms,258,9365,266,2021-09-02 02:19:21.607220
9967d109-070c-454e-b569-c5a80ecc5e4a,25_Range_RoadNetwork-States.sql,success,2.545915063s,8386,321610,8416,2021-09-02 02:19:37.443031
11c5ff22-c632-4fe3-bfa7-f4bb6ac611aa,26_Aggregate_Buildings-States.sql,success,512.902692ms,1,66,266,2021-09-02 02:19:54.870745
5e929c83-1361-430a-abdf-b5345496fdd3,27_Aggregate_RoadNetwork-States.sql,success,2.581849176s,1,66,8416,2021-09-02 02:20:09.546843
ce99b8bd-3cb0-4814-b036-834941a06435,28_Aggregate_AllNodes-States.sql,success,6.382380437s,1,53,47372,2021-09-02 02:20:26.614399
67eaf822-0fc2-42a6-abb4-8226e603c83e,29a_Distance_Points-Points.sql,success,59.930740795s,8303,625029,16606,2021-09-02 02:20:46.409241
f252afb7-9388-478b-b52d-169416143842,30_Create_UrbanAreas.sql,success,6.04627624s,0,0,0,2021-09-02 02:22:01.621569
64381363-740e-4c78-9cd2-5d4909d33a92,31_ReverseGeocoding_Point-UrbanAreas.sql,success,644.351297ms,0,0,11878,2021-09-02 02:22:23.156153
797a7094-13d4-4255-9969-68af296cb665,32_ReverseGeocoding_Point-Street.sql,success,362.247829ms,1,345,8415,2021-09-02 02:22:39.025543
bab9e8af-c99e-44a5-9f17-97c545959820,33_MapSearch&Browsing_Point-BoundingBox.sql,success,3.168450058s,47371,15240737,47371,2021-09-02 02:22:53.623705
df17e85e-1a1e-4f98-9196-2ddd30f029a9,34_MapSearch&Browsing_Line-BoundingBox.sql,success,842.497828ms,8415,5402068,8415,2021-09-02 02:23:13.670595
91ad9972-a15f-4003-b05b-3eaadc78996b,35_MapSearch&Browsing_Polygon-BoundingBox.sql,success,98.930376ms,265,174093,265,2021-09-02 02:23:31.545373
24009b3b-d62d-475b-a46c-aeb63deedfee,36_Land-Information-Management_Buildings-States.sql,success,318.51518ms,1,54,266,2021-09-02 02:23:48.477533
edc52279-7cb1-4ef9-84a8-8002a4d62aae,37_Land-Information-Management_Average-SqFt-Buildings-States.sql,success,245.926608ms,1,65,266,2021-09-02 02:24:05.449476
